state,district,year,congress_nbr,vote
NY,14,1824,19,7285
NY,15,1802,8,3796
NY,15,1804,9,6338
NY,15,1806,10,4792
NY,15,1810,12,8107
NY,15,1812,13,16773
NY,15,1814,14,17221
NY,15,1816,15,18906
NY,15,1818,16,11096
NY,15,1821,17,18826
NY,15,1822,18,3440
NY,15,1824,19,4577
NY,16,1802,8,3541
NY,16,1804,9,5219
NY,16,1806,10,3890
NY,16,1812,13,4283
NY,16,1814,14,4996
NY,16,1816,15,5398
NY,16,1818,16,2508
NY,16,1821,17,6393
NY,16,1822,18,4366
NY,16,1824,19,5683
NY,17,1802,8,3744
NY,17,1806,10,5227
NY,17,1812,13,4577
NY,17,1814,14,5299
NY,17,1818,16,1996
NY,17,1821,17,6341
NY,17,1822,18,4621
NY,17,1824,19,3903
NY,18,1812,13,3570
NY,18,1814,14,4054
NY,18,1816,15,4742
NY,18,1818,16,3991
NY,18,1821,17,6830
NY,18,1822,18,4406
NY,18,1824,19,5344
NY,19,1812,13,2933
NY,19,1814,14,4129
NY,19,1816,15,5053
NY,19,1818,16,2402
NY,19,1821,17,6265
NY,19,1822,18,4290
NY,19,1824,19,6174
NY,20,1812,13,13386
NY,20,1814,14,13972
NY,20,1818,16,11208
NY,20,1821,17,25552
NY,20,1822,18,12939
NY,22,1821,17,13826
NY,22,1822,18,3085
NY,23,1822,18,3431
NY,23,1824,19,6333
NY,24,1822,18,4428
NY,24,1824,19,6349
NY,25,1822,18,4665
NY,25,1824,19,6163
NY,26,1822,18,13419
NY,26,1824,19,20452
NY,27,1822,18,5146
NY,27,1824,19,7509
NY,28,1822,18,3547
NY,28,1824,19,5944
NY,29,1822,18,4159
NY,29,1824,19,7011
NY,30,1822,18,5654
NY,30,1824,19,6766
OH,1,1814,14,3422
OH,1,1816,15,5688
OH,1,1818,16,5775
OH,1,1822,18,6010
OH,1,1824,19,5956
OH,2,1818,16,5074
OH,2,1822,18,3104
OH,2,1824,19,4711
OH,3,1816,15,4619
OH,3,1818,16,6552
OH,3,1820,17,8439
OH,3,1822,18,4687
OH,3,1824,19,5076
OH,4,1814,14,5182
OH,4,1816,15,5318
OH,4,1818,16,6893
OH,4,1820,17,9394
OH,4,1824,19,4358
OH,5,1814,14,4795
OH,5,1824,19,4913
OH,6,1816,15,5302
OH,6,1818,16,8137
OH,6,1822,18,4807
OH,6,1824,19,5607
OH,7,1824,19,5077
OH,8,1822,18,6281
OH,8,1824,19,6395
OH,9,1822,18,5310
OH,9,1824,19,6595
OH,10,1822,18,4105
OH,10,1824,19,5366
OH,11,1822,18,3770
OH,11,1824,19,5938
OH,12,1822,18,4504
OH,12,1824,19,6516
OH,13,1822,18,4782
OH,13,1824,19,4896
OH,14,1822,18,3663
OH,14,1824,19,4708
PA,1,1791,2,1517
PA,1,1796,5,2934
PA,1,1798,6,1236
PA,1,1800,7,3382
PA,1,1802,8,24770
PA,1,1806,10,27263
PA,1,1808,11,41019
PA,1,1810,12,31735
PA,1,1812,13,56380
PA,1,1814,14,47803
PA,1,1816,15,45674
PA,1,1818,16,39713
PA,1,1820,17,50413
PA,1,1822,18,2061
PA,1,1824,19,2345
PA,2,1794,4,1166
PA,2,1798,6,1999
PA,2,1800,7,3527
